timestamp	experiment_id	description	val_loss	peak_vram_gb	kept
2026-04-05T00:57:31.143571+00:00	v3_exp_000	Baseline (unmodified train.py)	1.3813444375991821	10.74	True
2026-04-05T01:07:19.929321+00:00	v3_exp_001	Changed only the learning rate from 2e-4 to 1e-4 to reduce over-updating on a mostly QA instruction dataset and improve validation loss stability under the short time budget.	1.6077872514724731	10.74	False
2026-04-05T01:16:40.149062+00:00	v3_exp_002	Changed only the LoRA target modules to include MLP projections (`gate_proj`, `up_proj`, `down_proj`) in addition to attention, aiming to increase adaptation capacity for the dominant financial QA task without changing optimization dynamics.	1.3160187005996704	11.05	True
2026-04-05T01:28:17.522395+00:00	v3_exp_003	Changed only the LoRA rank from 16 to 32 to increase adaptation capacity for the dominant financial QA task while keeping the successful target-module setup unchanged.	1.3187533617019653	11.48	False
2026-04-05T01:39:56.370464+00:00	v3_exp_004	Changed only the learning rate from 2e-4 to 3e-4 to speed adaptation within the 300-second budget, since the lower LR underfit while expanded LoRA capacity already improved validation loss.	1.2978534698486328	11.48	True
2026-04-05T01:51:32.974082+00:00	v3_exp_005	Changed only the LoRA dropout from 0.05 to 0.0 to remove regularization that may be hurting adaptation under the very short 300-second budget and mostly homogeneous financial QA distribution.	1.297411561012268	11.48	True
2026-04-05T02:03:03.179229+00:00	v3_exp_006	Changed only the learning rate from 3e-4 to 4e-4 to test whether slightly faster adaptation improves validation loss within the strict 300-second budget on the mostly financial-QA dataset.	1.2899155616760254	11.48	True
2026-04-05T02:14:32.560097+00:00	v3_exp_007	Changed only the learning rate from 4e-4 to 5e-4 to test whether even faster adaptation further improves validation loss within the strict 300-second budget after consistent gains from successive LR increases.	1.2905943393707275	11.48	False
2026-04-05T02:26:02.513435+00:00	v3_exp_008	Changed only the warmup ratio from 0.03 to 0.0 because the 300-second budget and steadily improving higher learning rates suggest warmup is wasting too much of the limited optimization window.	1.2714308500289917	11.48	True
2026-04-05T02:37:32.725763+00:00	v3_exp_009	Changed only the learning-rate scheduler from cosine to constant so the model can sustain the proven strong 4e-4 learning rate throughout the short 300-second run instead of decaying too early.	1.2745544910430908	11.48	False
2026-04-05T02:49:04.568496+00:00	v3_exp_010	Changed only the evaluation frequency from every 50 steps to every 100 steps to reduce evaluation overhead and allow more training updates within the fixed 300-second budget, which may lower val_loss on this short-run setup.	1.2594292163848877	13.21	True
2026-04-05T03:03:03.078606+00:00	v3_exp_011	Changed only `num_train_epochs` from 1 to 2 so the trainer can use more of the fixed 300-second budget for additional optimization steps, since recent gains came from reducing overhead and increasing effective updates.	1.2609683275222778	13.21	False
2026-04-05T03:17:00.507920+00:00	v3_exp_012	Changed only `max_length` from 1024 to 768 to reduce per-step compute and fit more optimization steps within the 300-second budget, which is likely beneficial for this mostly short-form financial QA dataset.	1.2592283487319946	13.21	True
2026-04-05T03:30:59.212075+00:00	v3_exp_013	Changed only `gradient_accumulation_steps` from 4 to 2 to increase optimizer update frequency within the fixed 300-second budget, aiming to improve adaptation on the mostly short financial-QA dataset without increasing VRAM much.	1.2723937034606934	13.21	False
2026-04-05T03:42:31.385571+00:00	v3_exp_014	Changed only the optimizer from `adamw_torch` to `paged_adamw_8bit` to reduce optimizer-state overhead and likely fit more efficient training within the 300-second budget without changing the proven optimization schedule.	1.2593910694122314	13.21	False
2026-04-05T03:56:29.872690+00:00	v3_exp_015	Changed only the learning rate from 4e-4 to 3.5e-4 to test whether a slightly lower peak LR improves generalization after 4e-4 helped but 5e-4 began to overstep, potentially reducing val_loss further within the same short budget.	1.2572869062423706	13.21	True
2026-04-05T04:10:26.672702+00:00	v3_exp_016	Changed only the weight decay from 0.01 to 0.0 because the short-budget, low-dropout QLoRA setup on a mostly homogeneous financial QA dataset likely benefits from less regularization and slightly faster fitting.	1.257282018661499	13.21	True
2026-04-05T04:24:22.265622+00:00	v3_exp_017	Changed only the per-device batch size from 4 to 8 to increase tokens processed per optimizer step and improve gradient quality within the 24GB A10G budget at max_length 768.	1.2543984651565552	18.19	True
2026-04-05T04:34:38.049300+00:00	v3_exp_018	Changed only the LoRA rank from 16 to 8 to test whether a smaller adapter improves generalization and training efficiency under the 300-second budget after larger capacity underperformed.	1.256600022315979	18.19	False
2026-04-05T04:44:52.565166+00:00	v3_exp_019	Changed only `lora_alpha` from 32 to 16 to test whether a lower LoRA scaling factor improves generalization and stabilizes updates at the current strong 3.5e-4 learning rate under the short 300-second budget.	1.258941888809204	18.19	False
2026-04-05T04:55:06.049660+00:00	v3_exp_020	Changed only the learning rate from 3.5e-4 to 3.25e-4 to test whether a slightly gentler step size improves generalization after 3.5e-4 narrowly beat 4e-4 and nearby higher rates began to overstep.	1.2545509338378906	18.19	False
2026-04-05T05:05:20.836931+00:00	v3_exp_021	Changed only the LoRA dropout from 0.0 to 0.05 to add a small amount of regularization, which may improve validation loss now that batch size and learning rate are already near-optimal on this mostly homogeneous financial-QA dataset.	1.256415605545044	18.19	False
2026-04-05T05:15:38.648771+00:00	v3_exp_022	Changed only `eval_steps` from 100 to 200 to further reduce evaluation overhead and fit more training updates into the 300-second budget, since less frequent eval already improved validation loss.	1.2547221183776855	18.19	False
